人认知格局相关书籍推荐：

1. 《孩子，别急着长大》|The Whole-Brain Child|	塞奇·佩恩	龙应台
2. 《乌合之众》|The Crowd: A Study of the Popular Mind|	古斯塔夫·勒庞	贺伯特·胡华斯
3. 《大脑的自我修养》|The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science|	诺曼·多奇	李琳
4. 《奇迹之旅：妇女的成长之路》|Reviving Ophelia: Saving the Selves of Adolescent Girls|	玛丽·平克尼	赵丽琴
5. 《与时间做朋友》|Make Time: How to Focus on What Matters Every Day|	杰克·尼克瑞	陈向群
6. 《人性的弱点》|How to Win Friends and Influence People|	戴尔·卡耐基	陈沅
7. 《快思慢想》|Thinking, Fast and Slow|	丹尼尔·卡尼曼	陈立民
8. 《青少年社群：独立、身份、互联网》|It's Complicated: The Social Lives of Networked Teens|	丹娜·博伊斯	赵明燕
9. 《一个人的精神成长》|Man's Search for Meaning|	维克托·弗兰克尔	杨洁
10. 《超越智商》|Emotional Intelligence: Why It Can Matter More Than IQ|	丹尼尔·戈尔曼	赵洁芬
11. 《谁偷走了时间》|The Time Paradox: The New Psychology of Time That Will Change Your Life|	菲利普·泽格曼，约翰·博因	郎维平
12. 《流浪狗之歌》|The Art of Racing in the Rain|	加斯·斯汀	付勇
13. 《亲密关系》|The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth|	斯科特·派克	庄丽佳
14. 《小王子》|The Little Prince|	圣埃克苏佩里	谢宁
15. 《独处的力量》|Quiet: The Power of Introverts in a World That Can't Stop Talking|	苏珊·凯恩	陈昂
16. 《智慧集锦》|Meditations|	马可·奥勒留	寇春华
17. 《学会提问》|A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas|	沃伦·伯格曼	贾群
18. 《世界上最幸福的孩子》|The Happiest Kids in the World: How Dutch Parents Help Their Kids (and Themselves) by Doing Less|	丹妮儿·罗特布克，肯·罗宾逊	张冰
19. 《失控》|Out of Control: The New Biology of Machines, Social Systems and the Economic World|	凯文·凯利	黄慧
20. 《人类简史》|Sapiens: A Brief History of Humankind|	尤瓦尔·赫拉利	李家宏
21. 《谷歌：互联网的故事》|In the Plex: How Google Thinks, Works, and Shapes Our Lives|	史蒂文·莱维	李玉
22. 《心流》|Flow: The Psychology of Optimal Experience|	米哈里·契克森米哈伊	王留非
23. 《颠覆者：杰夫·贝佐斯和亚马逊时代》|The Everything Store: Jeff Bezos and the Age of Amazon|	布拉德·斯通	马继民
24. 《漫长的告别》|The Long Goodbye: A Memoir|	梁文道	贺芝芳
25. 《教养的艺术》|The Art of Parenting: Aiming Your Child's Heart Toward God|	丽莎·贝弗利	刘敏
26. 《轻松的人生》|Don't Sweat the Small Stuff...and It's All Small Stuff|	理查德·卡尔森	王沛
27. 《思辨的乐趣》|How to Read a Book|	查尔斯·范多伦，莫提默·J·艾德勒	林波
28. 《给孩子的文具书》|生育课|	江南	江南
29. 《麦肯锡方法》|The McKinsey Way: Using the Techniques of the World's Top Strategic Consultants to Help You and Your Business|	伊桑·M.鲍尔	王翔羽
30. 《什么是生命》|What Is Life? With Mind and Matter and Autobiographical Sketches|	厄文·舒物定	喜名里惠
31. 《断舍离》|The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing|	玛丽·庄	方晓蓉
32. 《肯尼迪秘密档案》|JFK: The CIA, Vietnam, and the Plot to Assassinate John F. Kennedy|	莱蒙德·韦尔德	赵军、赵秀红
33. 《悟空传》|Monkey: A Folk-Tale of China|	吴承恩	丘为，王浩祥，曹宁
34. 《民主的纪念碑》|Learning to Die in the Anthropocene: Reflections on the End of a Civilization|	罗伊·斯克里普斯	王洪波
35. 《尝试让你不再焦虑》|The Worry Cure: Seven Steps to Stop Worry from Stopping You|	罗伯特·利昂尼	敖保
36. 《思考的艺术》|The Art of Thinking Clearly|	罗尔夫·多贝利	杨旭静
37. 《最好的告别》|Being Mortal: Medicine and What Matters in the End|	亚特·古汀	杨雪红
38. 《明日简史》|Homo Deus: A Brief History of Tomorrow|	尤瓦尔·赫拉利	杨凌
39. 《真实的人类心理：刻画嫉妒、爱、恐惧这些情感的故事》|True Stories of the Miracles of Azusa Street and Beyond: Re-live One of The Greates Revivals in History That Has Prepared the World for The Last Great Hurrah Before the Coming of the Lord Jesus Christ|	保罗·埃克曼	郑成坤
40. 《你只看到了阳光下的草地》|Looking for Alaska|	约翰·格林	陈磊
41. 《情商：为什么情商比智商更重要》|Emotional Intelligence 2.0|	特拉维斯·布拉德贝里，让·格雷夫斯	邵照忠
42. 《血战钢锯岭》|Hacksaw Ridge: The True Story of Desmond Doss|	吉尔·熙勒	罗乐清
43. 《决策与判断》|Thinking in Bets: Making Smarter Decisions When You Don’t Have All the Facts|	安妮·杜克	陈旭
44. 《挑战墨菲法则》|The Richest Man in Babylon|	乔治·萨顿克莱森	张雅思
45. 《初心大爆炸》|The Big Bang: A Guide to the New Universe|	西蒙·辛格	徐璐璐
46. 《中国的那些事儿》|China in Ten Words|	余华	陆扶民
47. 《哲学家们都干了些什么》|A History of Western Philosophy|	伯特兰·罗素	李家宏
48. 《四个小时的工作周》|The 4-Hour Work Week: Escape 9-5, Live Anywhere, and Join the New Rich|	提姆·费里斯	贾群
49. 《去谈恋爱吧》|Modern Romance|	阿兹兹·安萨里，艾瑞克·克林伯格	徐易
50. 《为以后而战》|Start with Why: How Great Leaders Inspire Everyone to Take Action|	西蒙·西涅克	杨洪涛
