1. 《魔鬼经济学》| The Devil's Advocate | 威廉·戈尔德斯坦
2. 《思考的技术》| Thinking, Fast and Slow | 丹尼尔·卡尼曼
3. 《极简宇宙史》| A Brief History of Time | 斯蒂芬·霍金
4. 《人类简史》| Sapiens: A Brief History of Humankind | 尤瓦尔·赫拉利
5. 《情商》| Emotional Intelligence: Why It Can Matter More Than IQ | 丹尼尔·戈尔曼
6. 《你一定爱读的极简欧洲史》| A Little History of Europe | 约翰·黑斯
7. 《组织行为学：个体、团队与组织的行为与管理》| Organizational Behavior: Individuals, Groups, and Organization | 斯蒂芬·罗宾斯、蒂莫西·朱迪斯
8. 《乌合之众》| The Crowd: A Study of the Popular Mind | 古斯塔夫·勒庞
9. 《漫步华尔街》| A Random Walk Down Wall Street | 马齐尔·艾伦
10. 《人性的弱点》| How to Win Friends and Influence People | 戴尔·卡内基
11. 《贫穷的本质》| The Nature of Poverty: A Case History of the First Ventura Planning Area | 大卫·檀恩贾
12. 《宇宙的形成》| The Origin of the Universe | 约翰·D·巴罗
13. 《沉思录》| Meditations | 马尔库斯·奥勒留斯
14. 《蓝色海洋战略》| Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant | 游戏棋、文婷
15. 《全球通史》| The Penguin History of the World | 罗伯特·斯特劳斯
16. 《创新者的窘境》| The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail | 克莱顿·克里斯坦森
17. 《选美心理学》| The Psychology of Beauty | 赛缪尔·韦伯
18. 《人类简史》| Sapiens: A Brief History of Humankind | 尤瓦尔·赫拉利
19. 《沉默的春天》| Silent Spring | 瑞秋·卡森
20. 《良心经济学》| The Conscience of a Liberal | 保罗·克鲁格曼
21. 《愤怒的葡萄》| The Grapes of Wrath | 约翰·斯坦贝克
22. 《一切困难都是礼物》| The Physics of the Impossible | 米歇尔·考库
23. 《中国深度观察——白鹿原》| White Deer Plain | 陈忠实
24. 《骆驼祥子》| Camel Xiangzi | 老舍
25. 《人性的枷锁》| The Folly of Fools: The Logic of Deceit and Self-Deception in Human Life | 罗伯特·特里弗斯
26. 《福尔摩斯探案全集》| The Complete Sherlock Holmes Collection | 阿瑟·柯南·道尔
27. 《生活万岁》| Always Look on the Bright Side of Life: A Sortabiography | 埃里克·艾多尔寇
28. 《学会做减法》| The Joy of Less: A Minimalist Guide to Declutter, Organize, and Simplify | 弗朗西斯卡·杜可费尔丁
29. 《小王子》| The Little Prince | 圣埃克苏佩里
30. 《如何高效学习》| How to Read a Book | 查尔斯·范多伦、莫顿·阿德勒
31. 《道德经》| Tao Te Ching | 老子
32. 《交互设计沉思录》| The Design of Everyday Things | 唐纳德·诺曼
33. 《时间简史》| A Brief History of Time | 斯蒂芬·霍金
34. 《双城记》| A Tale of Two Cities | 查尔斯·狄更斯
35. 《复杂》| Complexity: A Guided Tour | 米歇尔·霍尔
36. 《情绪的语言》| Emotional Anatomy | 斯坦利·基茨
37. 《三体》| The Three-Body Problem | 刘慈欣
38. 《刻意练习》| Peak: Secrets from the New Science of Expertise | 安德斯·埃里克森、罗伯特·普尔
39. 《追风筝的人》| The Kite Runner | 卡勒德·胡赛尼
40. 《黑客与画家》| Hackers and Painters: Big Ideas from the Computer Age | 保罗·格雷厄姆
41. 《史记》| Records of the Grand Historian | 司马迁
42. 《头脑特工队》| Moonwalking with Einstein: The Art and Science of Remembering Everything | 乔希·福格
43. 《解忧杂货铺》| The Convenience Store | 东野圭吾
44. 《论语》| The Analects | 孔子
45. 《如何阅读一本书》| How to Read a Book | 查尔斯·范多伦、莫顿·阿德勒
46. 《人性的弱点》| How to Win Friends and Influence People | 戴尔·卡内基
47. 《麦田里的守望者》| The Catcher in the Rye | J·D·塞林格
48. 《智慧与疯狂之间》| Wisdom and Madness of Crowds | 詹姆斯·麦福
49. 《社群策略》| The Wisdom of Crowds | 詹姆斯·麦福
50. 《追风筝的人》| The Kite Runner | 卡勒德·胡赛尼
