1. 《穆斯林的葬礼》|The Muslim Burial Guide|阿卜杜拉·哈姆扎

2. 《人类的本质》|The Human Nature|E.O.威尔逊

3. 《思维之巅》|Thinking, Fast and Slow|丹尼尔·卡尼曼

4. 《心理学与生活》|Psychology and Life|理查德·格里格斯

5. 《孩子，批判性思维和信仰》|Child, Critical Thinking, and Faith|Penney Clark、Ken Badley、Barb DeRoche、Fraser McLeod

6. 《能力掌控》|Mastery|乔治·伦纳德

7. 《是否有公正之道》|Is There a Right Way to Be Fair?|亚当·柯兹

8. 《头脑决策》|The Mind Club|丹尼尔·赫姆斯

9. 《对理解科学的贡献》|The Contribution of Understanding Science|奥托·戈特利布

10. 《营销心理学》|Marketing Psychology|赵元

11. 《选和缺失》|The Paradox of Choice|巴里·舒瓦茨

12. 《个性心理学》|Personality Psychology|陶皓

13. 《人格与情绪》|Personality and Emotion|林志彬

14. 《成长心理学》|Developmental Psychology|余哲珍、张丽娜

15. 《人类行为》|Human Behavior|于学忠

16. 《社会心理学》|Social Psychology|李忠文、陈良恒

17. 《正义感》|Sense of Justice|劳伦斯·凯恩斯

18. 《行动与判断》|Action and Judgment|艾伯特·尚普斯

19. 《如何活得更好》|How to Live Better|爱丽丝·亚当斯

20. 《从脑科学到人类生活》|From Neuroscience to Human Life|葛怡生

21. 《思维与刻板印象》|Thinking and Stereotyping|韦良

22. 《爱情与人格》|Love and Personality|张玉芳、王曼君

23. 《人的智慧》|The Wisdom of Human|林宛瑜、黄春汶

24. 《人际关系心理学》|Interpersonal Psychology|蔡承裕

25. 《动机与行为》|Motivation and Behavior|陈音

26. 《认知心理学》|Cognitive Psychology|阮源

27. 《群体心理学》|Group Psychology|李恕然

28. 《性别学与社会心理学》|Gender Studies and Social Psychology|严宏志

29. 《社会心理学之路》|Into the Road of Social Psychology|纪玲

30. 《教育心理学》|Educational Psychology|朱可可

31. 《心理学导论》|Introduction to Psychology|吴伟建、黄郁平

32. 《心理学基础》|Psychological Foundation|林千菁

33. 《心理学史话》|History of Psychology|赵岳涵

34. 《情绪心理学》|Emotional Psychology|胡旭

35. 《健康心理学》|Health Psychology|张欣、陆伟籽

36. 《幸福心理学》|Positive Psychology|尚玉琨

37. 《心理咨询学》|Counseling Psychology|刘兆阳

38. 《跨文化心理学》|Cross-Cultural Psychology|蔡雯

39. 《文化心理学》|Cultural Psychology|徐倩怡

40. 《治愈系心理学》|Healing Psychology|胡松善

41. 《社交心理学》|Social Psychology|李玮

42. 《心灵文化》|Soul Culture|吴珊

43. 《生命心理学》|Life Psychology|韩宁

44. 《生命认识觉悟》|Life Perception and Consciousness|李寿胜

45. 《生活中的心理学》|Psychology in Life|林嘉荣

46. 《如何理解人性》|How to Understand Human Nature|徐红梅

47. 《理性情感与人格》|Rational Emotion and Personality|何裕林

48. 《性格的识别与分析》|Identification and Analysis of Personality|李宁

49. 《行为与认知》|Action and Cognition|顾忠梁

50. 《认知行为疗法》|Cognitive Behavioral Therapy|刘东林
