1.《思考，快与慢》Thinking, Fast and Slow|Daniel Kahneman
2.《人类简史》Sapiens: A Brief History of Humankind|尤瓦尔·赫拉利
3.《黑天鹅》The Black Swan|纳西姆·尼古拉斯·塔勒布
4.《影响力》Influence: The Psychology of Persuasion|罗伯特·B. 西奥迪尼
5.《演化心理学》The Evolutionary Psychology|大卫·珀林
6.《原则》Principles|雷·达里奥
7.《少有人走的路》The Road Less Traveled|M·斯科特·派克
8.《原子习惯》Atomic Habits|詹姆斯·克利尔
9.《永恒的九日》The Nine Days of Eternal Youth|王安忆
10.《疯狂的人类简史》Homo Deus: A Brief History of Tomorrow|尤瓦尔·赫拉利
11.《黑匣子思维》Black Box Thinking: The Surprising Truth About Success|马修·赫斯特
12.《沉默的大多数》The Silent Majority|谭婷婷
13.《复杂》Complexity|米切尔·沃尔德罗普
14.《臭名昭著的皮克斯定律》The Infamous Pixar Theory|安东尼·宾奇
15.《刻意练习》Peak: Secrets from the New Science of Expertise|安德斯·埃里克森
16.《爱的艺术》The Art of Loving|爱德华·弗罗姆
17.《地球是我们共同的家园》The Earth Is Our Home|儒勒·凡尔纳
18.《人间失格》No Longer Human|太宰治
19.《虚构的世界》Infinite Jest|戴维·福斯特·华莱士
20.《孤独六讲》Six Memos for the Next Millennium|伊塔罗·卡尔维诺
21.《赤裸裸的统治》Naked Empire|泰瑞·史菲尔
22.《当我谈跑步时，我谈些什么》What I Talk About When I Talk About Running|村上春树
23.《心理学与生活》Psychology and Life|理查德·格里格
24.《看微笑的孩子》The Children of Laughter and Tears|杨春光
25.《追风筝的人》The Kite Runner|卡勒德·胡赛尼
26.《精准》Accuracy and Precision|周健
27.《人性的弱点》How to Win Friends and Influence People|戴尔·卡内基
28.《启示录》Revelation|约瑟夫·康拉德
29.《爱上读书的猫》The Library Cat|达尼尔·胡
30.《理想的万花筒》The Ideal Kaleidoscope|阿尔贝·卡缪
31.《墨菲定律》Murphy's Law|亚瑟·布洛克
32.《独自去偷电影》Shoplifting From American Apparel|陈彦西
33.《说服力：如何让他人答应你》The Power of Persuasion|柯林斯
34.《中国哲学简史》A Short History of Chinese Philosophy|冯友兰
35.《无人生还》And Then There Were None|阿加莎·克里斯蒂
36.《钢铁是怎样炼成的》How the Steel Was Tempered|尼古拉·奥斯特洛夫斯基
37.《小王子》The Little Prince|安托万·德·圣-埃克苏佩里
38.《隐形的城市》Invisible Cities|伊塔罗·卡尔维诺
39.《灰色人》The Man in the Gray Flannel Suit|斯隆·威尔逊
40.《乌合之众》The Crowd: A Study of the Popular Mind|古斯塔夫·勒庞
41.《品格的力量》The Power of Character|马克·特威恩
42.《关于我转生成为史莱姆这档事》Tensei Shitara Slime Datta Ken|川上泰树
43.《语言本能》The Language Instinct|史蒂文·平克
44.《追忆似水年华》Remembrance of Things Past|马塞尔·普鲁斯特
45.《唐吉诃德》Don Quixote|塞万提斯
46.《思考的艺术》The Art of Thinking Clearly|罗尔夫·多贝利
47.《像一只麻雀一样飞翔》Fly Like a Sparrow|乔宏
48.《时间简史》A Brief History of Time|斯蒂芬·霍金
49.《奇幻山林》Into the Wild|乔恩·克拉克
50.《笨手笨脚的人》The Clumsy Person|看不到的太阳
