1. 《思考，快与慢》| Thinking, Fast and Slow | 丹尼尔·卡尼曼
2. 《社会智慧的内在逻辑》| The Inner Logic of Social Wisdom | 潘耀明 
3. 《思考的艺术》| The Art of Thinking Clearly | 朱迪思·科尔
4. 《认知盲点》| Blindspot: Hidden Biases of Good People | 马扎林·鲁斯托温和安东尼·格林瓦尔德
5. 《学习之道》| The Learning Way | 尤纳斯·冯特苏曼
6. 《心智漫游者》| The Mind's I: Fantasies and Reflections on Self & Soul | 道格拉斯·霍夫斯塔特、丹尼尔·丹尼特
7. 《感性思维》| A Whole New Mind: Why Right-Brainers Will Rule the Future | 丹尼尔·平克
8. 《内隐成见》| Implicit Bias: A Potent but Manageable Force | 溪·帕拉尔、安东尼·格林瓦尔德
9. 《沉默的脑》| Quiet: The Power of Introverts in a World That Can't Stop Talking | 苏珊·凯恩
10. 《智慧与愚蠢的边界》| The Borderline Between Intelligence and Stupidity | 高文德
11. 《学会提问》| A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas | 玛丽·伯顿
12. 《深度》| Deep Work: Rules for Focused Success in a Distracted World | 卡尔·纽波特
13. 《洞见》| Insight: The Power of Self-Awareness in a Self-Deluded World | Tasha Eurich
14. 《快思慢想》| Quick Thinking, Slow Thinking | 夏塔·科特
15. 《谁开了我的大脑》| Who Moved my Brain? | E.多德
16. 《认知升华》| Cognitive Refinement | 马卡里奥·卡波切利
17. 《认知失调》| Cognitive Dissonance | 埃利亚斯·戈茨曼
18. 《无意识的欺骗》| Deceiving Ourselves Unconsciously | 马尼什·萨格尔
19. 《思考的乐趣》| Mind as Machine: A History of Cognitive Science | 玛格丽特·博得基
20. 《看不懂的大脑》| The Magic of the Mind | 阿尔文·科赫
21. 《关于人的意义》| Meaning in the Human Condition | 约瑟夫·米勒
22. 《……学》| The Science of … | Benjamin James Gesundheit
23. 《护理与智力训练》| The Nursing and Intelligence Training | 卡罗琳·库森巴姆、玛丽·黑本
24. 《衡量我们对他人的看法》| Measuring What Matters About How We See Others | 吉姆·霍尔特、伊迪丝·研究所
25. 《头脑工具箱》| Tools of the Mind | 布赖恩·伍德、艾拉·里查德森
26. 《心理学随笔》| Essays in Psychology | 沃尔特·布林克
27. 《我的大脑》| My Brain Made Me Do It | 史蒂夫·佩聪德
28. 《灵性探究》| Spiritual Inquiry | 菲利普·威廉姆岛
29. 《关于认知神经科学的探索》| Exploration of Cognitive Neuroscience | 约翰·昆西·斯特斯
30. 《认知科学》| Cognitive Science | 本尼迪克特·帕克
31. 《头脑开发实践》| Mind Development Practice | 凯瑟琳·帕帝
32. 《不确定性的智慧》| The Wisdom of Uncertainty | 密歇尔·塔普林斯基
33. 《对话与学习》| Dialogue and Learning | 莎琳娜·格洛V A
34. 《情感比智商重要》| Emotional Intelligence Revisited | 史威夫威克马尔兹
35. 《认知家族治疗》| Cognitive Family Therapy | 米歇尔·麦克尼尔、查尔斯·伯曼
36. 《智力与领导力》| Intelligence and Leadership | 诺曼·爱德华兹
37. 《需要和可用性》| Need and Availability | 斯科特·林
38. 《程序颠覆者》| Disruptor of Programs | 斯图尔特·卡多
39. 《灵魂的解读》| Understanding the Soul | 瑞秋·纳亚克
40. 《女人的头脑》| The Female Brain | 路易丝·加内尔
41. 《交际的艺术》| The Art of Communication | 基安·朱托·瑞恩
42. 《领导学说与实践》| Leadership Theory and Practice | 彼得·北豪斯、李·卢斯
43. 《教育性的头脑》| The Educational Mind | 理查德·米尔哈姆
44. 《谈笔生意》| Talk Business |多米尼克·马斯沃尔
45. 《自我塑造》| Self-Creation | 詹姆斯·古德曼
46. 《了不起的心灵鸡汤》| The Unbelievable Chicken Soup | 约翰·麦克斯维尔
47. 《成为领导者》| Becoming a Leader | 丹尼尔·古尔曼
48. 《创造力》| Creativity | 沃伦·伯格
49. 《认知教育学》| Cognitive Education | 迈克尔·佩林
50. 《黑客心态》| Hacker Mentality | 李嘉文
